Reference number,AWB,Company,Store,Recipient Name,Company Payment Type,Delivering City,Delivering Area,Shipment Details,Zones,Cash on Delivery,Returned With Fees,Exp Delivery Fees,Shipment Status,Creation Date,Distribution Center Date,AssignTo Courier Date,Acctual Delivering Date,COD Collection Date,Company Settlement Date
1599w,24090458001074,mango perfume,mango perfume,,الدفع بعد الوصول,عمان,القويسمة,100مل سوفاج +100مل فكتوريا سيكرت فيري سيكسي +50مل سكاندل ستاتي +50مل ايروس ,C 2,0,,1.5,Cod Collected,9/17/2024 12:12:42 AM,9/17/2024 5:15:24 AM,9/17/2024 7:00:48 AM,9/17/2024 1:09:37 PM,9/17/2024 8:03:24 PM,9/18/2024 10:51:16 AM
15911w,24090458001076,mango perfume,mango perfume,,الدفع بعد الوصول,عمان,حي الكرسي,100مل ديلينا هوت بينك بيرفيوم +100مل جون بول ستاتي +50مل غوتشي فلورا +50مل جيرلان انتنس ,E,34,,1.5,Cod Collected,9/17/2024 12:12:42 AM,9/17/2024 5:15:24 AM,9/17/2024 7:27:02 AM,9/17/2024 3:56:05 PM,9/17/2024 9:05:37 PM,9/18/2024 10:51:16 AM
15912w,24090458001077,mango perfume,mango perfume,,الدفع بعد الوصول,اربد,الحي الشرقي,100مل دنهل ريد +100مل ديلينا هوت بينك بيرفيوم +50مل روبيرتو كافالي ستاتي +دي مارلي اتاليا ,,34,,1.75,Cod Collected,9/17/2024 12:12:42 AM,9/17/2024 5:15:24 AM,9/17/2024 9:52:56 AM,9/17/2024 2:01:55 PM,9/17/2024 7:18:52 PM,9/18/2024 10:51:16 AM
15913w,24090458001078,mango perfume,mango perfume,,الدفع بعد الوصول,الزرقاء,الزرقاء,100مل ليبر انتنس +100مل فلانتينو ستاتي +50 مل مس ديور +50مل فلانتينو اومو بورن ان روما ,Z - 1,34,,1.75,Cod Collected,9/17/2024 12:12:42 AM,9/17/2024 5:15:24 AM,9/17/2024 9:47:57 AM,9/17/2024 6:50:51 PM,9/18/2024 1:26:33 AM,9/18/2024 10:51:16 AM
15914w,24090458001079,mango perfume,mango perfume,,الدفع بعد الوصول,الزرقاء,الزرقاء,100مل التراميل ,Z - 1,17,,1.75,Cod Collected,9/17/2024 12:12:42 AM,9/17/2024 5:15:24 AM,9/17/2024 9:47:56 AM,9/17/2024 6:21:17 PM,9/18/2024 1:26:33 AM,9/18/2024 10:51:16 AM
15915w,24090458001080,mango perfume,mango perfume,,الدفع بعد الوصول,وادي موسى,وادي موسى,100مل فكتوريا سيكرت فيري سيكسي +100مل اكوا دي جيو بروفومو +50مل سكاندل ستاتي +50مل بربري هيرو ,S - M,34,,1.75,Cod Collected,9/17/2024 12:12:42 AM,9/17/2024 5:15:24 AM,9/17/2024 6:41:57 AM,9/17/2024 8:10:48 PM,9/18/2024 12:15:44 AM,9/18/2024 10:51:16 AM
15916e,24090458001081,mango perfume,mango perfume,,الدفع بعد الوصول,العقبة,العقبة,100مل بربري هير الكسير ,S - A,0,,1.75,Cod Collected,9/17/2024 12:12:42 AM,9/17/2024 5:15:24 AM,9/17/2024 6:35:10 AM,9/17/2024 9:39:43 PM,9/18/2024 1:09:19 AM,9/18/2024 10:51:16 AM
15917w,24090458001082,mango perfume,mango perfume,,الدفع بعد الوصول,عمان,جبل الحسين,100مل اومبير نوميد ,C 3,17,,1.5,Cod Collected,9/17/2024 12:12:42 AM,9/17/2024 5:15:24 AM,9/17/2024 7:06:31 AM,9/17/2024 3:52:45 PM,9/17/2024 8:33:10 PM,9/18/2024 10:51:16 AM
15918w,24090458001083,mango perfume,mango perfume,,الدفع بعد الوصول,عمان,العبدلي,100مل ايروس +100مل التراميل +50مل ارماني كود +50مل سترونجر ويذ يو ,RTN,34,,1.5,Item Returned To Company Store By Driver,9/17/2024 12:12:42 AM,9/17/2024 5:15:24 AM,9/17/2024 6:00:16 PM,,,
15919w,24090458001084,mango perfume,mango perfume,,الدفع بعد الوصول,اربد,الحي الجنوبي,100مل لايت بلو فوريفر بور هوم +100مل غوتشي بلوم +50مل انفكتوس اكوا رابان +50مل فيم هوجو بوس ,,34,,1.75,Cod Collected,9/17/2024 12:12:42 AM,9/17/2024 5:15:24 AM,9/17/2024 10:11:30 AM,9/17/2024 3:29:05 PM,9/17/2024 6:31:59 PM,9/18/2024 10:51:16 AM
15920w,24090458001085,mango perfume,mango perfume,,الدفع بعد الوصول,عمان,شارع الجامعة,100مل نيشان ,G,17,,1.5,Cod Collected,9/17/2024 12:12:42 AM,9/17/2024 5:15:24 AM,9/17/2024 7:37:08 AM,9/17/2024 12:42:20 PM,9/17/2024 7:49:14 PM,9/18/2024 10:51:16 AM
15921w,24090458001086,mango perfume,mango perfume,,الدفع بعد الوصول,عمان,ماركا الشمالية,100مل ايروس +100مل كوكو شانيل +50مل جريس ديور +50مل شانيل شانس ,C 1,34,,1.5,Cod Collected,9/17/2024 12:12:43 AM,9/17/2024 5:15:24 AM,9/17/2024 6:50:35 AM,9/17/2024 6:16:38 PM,9/17/2024 8:46:45 PM,9/18/2024 10:51:16 AM
15922w,24090458001087,mango perfume,mango perfume,,الدفع بعد الوصول,اربد,ايدون,100مل بكرات روج +100مل 212 vip بلاك +50مل بلو شانيل +50مل ديور هوم انتنس ,,0,,1.75,Cod Collected,9/17/2024 12:12:43 AM,9/17/2024 5:15:24 AM,9/17/2024 10:11:30 AM,9/17/2024 2:37:32 PM,9/17/2024 6:31:59 PM,9/18/2024 10:51:16 AM
RTN15935F,24090458001088,mango perfume,mango perfume,,الدفع بعد الوصول,عمان,الجبيهة,كفالي بردايسو ١٠٠+ ٥٠,RTN,0,,1.5,Item Returned To Company Store By Driver,9/17/2024 11:19:48 AM,9/17/2024 5:15:24 AM,9/17/2024 7:30:29 AM,,,
RTN1597F,24090458001089,mango perfume,mango perfume,,الدفع بعد الوصول,عمان,خلدا,Si البيج ١٠٠,RTN,0,,1.5,Item Returned To Company Store By Driver,9/17/2024 11:21:58 AM,9/17/2024 5:15:24 AM,9/17/2024 7:27:02 AM,,,
RTN15912F,24090458001090,mango perfume,mango perfume,,الدفع بعد الوصول,عمان,مرج الحمام,دي مارلي بجسوس ١٠٠/ ايروس١٠٠/ ارماني كود ٥٠/ لاهوم اف سان لوران الاسود ٥٠ ,RTN,0,,1.5,Item Returned To Company Store By Driver,9/17/2024 11:22:24 AM,9/17/2024 5:15:24 AM,9/17/2024 6:57:17 AM,,,
RTN15928F,24090458001091,mango perfume,mango perfume,,الدفع بعد الوصول,عمان,ضاحية الاقصى,ذا منح ١٠٠/جين بول حلتر الكسير ١٠٠/يو ابسليوت ٥٠/سبايس بومب اكستريم ٥٩,RTN,0,,1.5,Item Returned To Company Store By Driver,9/17/2024 12:12:33 PM,9/17/2024 5:15:24 AM,9/17/2024 7:31:06 AM,,,
RTN1192F,24090458001092,mango perfume,mango perfume,,الدفع بعد الوصول,عمان,الجبيهة,,RTN,0,,1.5,Item Returned To Company Store By Driver,9/17/2024 12:16:37 PM,9/14/2024 5:27:31 AM,9/17/2024 7:30:29 AM,,,
RTN1599w,24090458001093,mango perfume,mango perfume,,الدفع بعد الوصول,عمان,القويسمة,100مل سوفاج +100مل فكتوريا سيكرت فيري سيكسي +50مل سكاندل ستاتي +50مل ايروس ,RTN,0,,1.5,Item Returned To Company Store By Driver,9/17/2024 1:09:37 PM,9/17/2024 5:15:24 AM,9/17/2024 7:00:48 AM,,,
a695w,24090458001094,mango perfume,mango perfume,,الدفع بعد الوصول,عمان,شفا بدران,,J,-32,,1.5,Cod Collected,9/17/2024 2:09:09 PM,9/17/2024 2:09:20 PM,9/17/2024 2:09:47 PM,9/17/2024 6:23:30 PM,9/17/2024 7:48:15 PM,9/18/2024 10:51:16 AM
RTN1595w,24090458001095,mango perfume,mango perfume,,الدفع بعد الوصول,عمان,خلدا,100مل ايماجنيشن ,RTN,0,,1.5,Item Returned To Company Store By Driver,9/17/2024 2:33:42 PM,9/17/2024 5:15:24 AM,9/17/2024 7:27:02 AM,,,
RTN15922w,24090458001096,mango perfume,mango perfume,,الدفع بعد الوصول,اربد,ايدون,100مل بكرات روج +100مل 212 vip بلاك +50مل بلو شانيل +50مل ديور هوم انتنس ,,0,,1.75,Item Returned To Company Store By Driver,9/17/2024 2:37:32 PM,9/17/2024 5:15:24 AM,9/17/2024 10:11:30 AM,,,
RTN15920F,24090458001097,mango perfume,mango perfume,,الدفع بعد الوصول,اربد,اربد,بريزن ١٠٠/مس ديور الزهريه ٥٠ عدد٢,,0,,1.75,Item Returned To Company Store By Driver,9/17/2024 2:49:52 PM,9/17/2024 5:15:24 AM,9/17/2024 10:11:30 AM,,,
RTN15925F,24090458001098,mango perfume,mango perfume,,الدفع بعد الوصول,عمان,الجندويل,تومي رجالي ٥٠/ كريد افنتوس٥٠/ ايروس٥٠/ جيمي كو٥٠,RTN,0,,1.5,Item Returned To Company Store By Driver,9/17/2024 5:39:46 PM,9/17/2024 5:15:24 AM,9/17/2024 7:27:02 AM,,,
RTNa695w,24090458001099,mango perfume,mango perfume,,الدفع بعد الوصول,عمان,شفا بدران,,RTN,0,,1.5,Item Returned To Company Store By Driver,9/17/2024 6:23:30 PM,9/17/2024 2:09:20 PM,9/17/2024 2:09:47 PM,,,
RTN15916e,24090458001100,mango perfume,mango perfume,,الدفع بعد الوصول,العقبة,العقبة,100مل بربري هير الكسير ,RTN,0,,1.75,Item Returned To Company Store By Driver,9/17/2024 9:39:43 PM,9/17/2024 5:15:24 AM,9/17/2024 6:35:10 AM,,,
1691z,24090458001101,mango perfume,mango perfume,,الدفع بعد الوصول,عمان,شفا بدران,ليبر انتنس,J,0,,1.5,Cod Collected,9/18/2024 1:09:09 AM,9/18/2024 4:02:21 AM,9/18/2024 7:06:53 AM,9/18/2024 3:46:54 PM,9/18/2024 5:37:45 PM,9/19/2024 11:16:54 AM
1692z,24090458001102,mango perfume,mango perfume,,الدفع بعد الوصول,جرش,جرش,ايروس,,0,,1.75,Item Returned To Company Store By Driver,9/18/2024 1:09:09 AM,9/18/2024 4:37:43 AM,9/19/2024 11:31:02 AM,,,
1693z,24090458001103,mango perfume,mango perfume,,الدفع بعد الوصول,عمان,الرابية,توباكو عود+ لي ليون +٥٠مل عبوتين سبايس بمب,K,34,,1.5,Cod Collected,9/18/2024 1:09:09 AM,9/18/2024 4:02:21 AM,9/21/2024 2:00:16 PM,9/21/2024 2:21:45 PM,9/21/2024 8:06:40 PM,9/22/2024 9:35:34 AM
1694z,24090458001104,mango perfume,mango perfume,,الدفع بعد الوصول,اربد,اربد,٢١٢سلفر+ بيكوز اتس يو + ٥٠ مل كريستال نوار+ ٥٠ مل الين,,34,,1.75,Cod Collected,9/18/2024 1:09:09 AM,9/18/2024 4:37:43 AM,9/18/2024 10:30:34 AM,9/18/2024 2:19:59 PM,9/18/2024 5:15:09 PM,9/19/2024 11:16:54 AM
1695z,24090458001105,mango perfume,mango perfume,,الدفع بعد الوصول,عمان,حي نزال,ترجيع للعميل مبلغ 32,P,-32,,1.5,Cod Collected,9/18/2024 1:09:09 AM,9/18/2024 4:02:21 AM,9/18/2024 4:31:40 PM,9/18/2024 4:33:02 PM,9/18/2024 4:40:54 PM,9/19/2024 11:16:54 AM
1696z,24090458001106,mango perfume,mango perfume,,الدفع بعد الوصول,مادبا,مادبا,مس ديور+ سترونجر وذ يو+٥٠مل فلورا جورجس جاردينيا+ ٥٠ مل لي ميل,N,34,,1.75,Cod Collected,9/18/2024 1:09:09 AM,9/18/2024 4:02:21 AM,9/18/2024 6:45:37 AM,9/18/2024 2:06:04 PM,9/18/2024 4:34:31 PM,9/19/2024 11:16:54 AM
1697z,24090458001107,mango perfume,mango perfume,,الدفع بعد الوصول,عمان,جبل الزهور,جوتشي باي جوتشي رجالي+ سي+ ٥٠مل انفكتوس+ ٥٠مل بلو شنل,P,34,,1.5,Cod Collected,9/18/2024 1:09:09 AM,9/18/2024 4:02:21 AM,9/18/2024 7:25:21 AM,9/18/2024 1:59:53 PM,9/18/2024 4:40:54 PM,9/19/2024 11:16:54 AM
1698z,24090458001108,mango perfume,mango perfume,,الدفع بعد الوصول,عمان,وادي صقرة,فيري سكسي+ فلورا جورجس جاردينيا+ ٥٠مل ايروس+٥٠مل ايماجنيشن,C 3,34,,1.5,Cod Collected,9/18/2024 1:09:09 AM,9/18/2024 4:02:21 AM,9/18/2024 7:11:13 AM,9/18/2024 4:12:21 PM,9/18/2024 7:47:30 PM,9/19/2024 11:16:54 AM
1699z,24090458001109,mango perfume,mango perfume,,الدفع بعد الوصول,اربد,اربد,بلو شنل + دنهل بلو+ ٥٠مل عبوتين كول ووتر,,34,,1.75,Cod Collected,9/18/2024 1:09:09 AM,9/18/2024 4:37:43 AM,9/18/2024 10:30:34 AM,9/18/2024 2:41:44 PM,9/18/2024 5:15:09 PM,9/19/2024 11:16:54 AM
16910z,24090458001110,mango perfume,mango perfume,,الدفع بعد الوصول,مادبا,مادبا,سكاندل بور هوم+وذ يو انتنسلي+ ٥٠مل جوتشي جورجس جاردينيا+٥٠مل ,N,34,,1.75,Cod Collected,9/18/2024 1:09:10 AM,9/18/2024 4:02:21 AM,9/18/2024 6:45:37 AM,9/18/2024 2:26:02 PM,9/18/2024 4:34:31 PM,9/19/2024 11:16:54 AM
16911z,24090458001111,mango perfume,mango perfume,,الدفع بعد الوصول,مادبا,مادبا,جادور+ برايت كريستال+٥٠مل بلو شنل+ ٥٠ كوكو مدموزيل,N,34,,1.75,Cod Collected,9/18/2024 1:09:10 AM,9/18/2024 4:02:21 AM,9/18/2024 6:48:32 AM,9/18/2024 10:23:40 AM,9/18/2024 9:22:47 PM,9/19/2024 11:16:54 AM
16912z,24090458001112,mango perfume,mango perfume,,الدفع بعد الوصول,عمان,شفا بدران,ايدول لانكوم+ ارماني كود+٥٠مل هوجو بوس+ ٥٠مل شانس شانيل,RTN,34,,1.5,Item Returned To Company Store By Driver,9/18/2024 1:09:10 AM,9/18/2024 4:02:21 AM,9/18/2024 7:06:53 AM,,,
16913z,24090458001113,mango perfume,mango perfume,,الدفع بعد الوصول,عمان,ضاحية الرشيد,ايروس+ بلو شنل+٥٠مل جابانا كينج+٥٠مل ديلان بلو رجالي ,I,34,,1.5,Cod Collected,9/18/2024 1:09:10 AM,9/18/2024 4:02:21 AM,9/18/2024 7:10:47 AM,9/18/2024 5:22:06 PM,9/18/2024 7:38:35 PM,9/19/2024 11:16:54 AM
16914z,24090458001114,mango perfume,mango perfume,,الدفع بعد الوصول,المفرق,المفرق,ايروس+ فوياج+ ٥٠مل كريد وايت+ ٥٠مل سكاندل بور هوم,,0,,1.75,Cod Collected,9/18/2024 1:09:10 AM,9/18/2024 4:37:43 AM,9/18/2024 10:17:14 AM,9/18/2024 2:25:12 PM,9/18/2024 5:46:54 PM,9/19/2024 11:16:54 AM
16915z,24090458001115,mango perfume,mango perfume,,الدفع بعد الوصول,عمان,مرج الحمام,وذ يو انتنسلي+ سوفاج+ روز فانيلا+ ٥٠مل سكاندل ستاتي,O,34,,1.5,Cod Collected,9/18/2024 1:09:10 AM,9/18/2024 4:02:21 AM,9/18/2024 6:35:40 AM,9/18/2024 12:37:29 PM,9/18/2024 9:22:47 PM,9/19/2024 11:16:54 AM
1693F,24090458001118,mango perfume,mango perfume,,الدفع بعد الوصول,عمان,الجندويل,سوفاج ١٠٠/ بلو شانيل ١٠٠/ امر ليذر ٥٠ / جين بول جلتر ٥٠,E,34,,1.5,Cod Collected,9/18/2024 1:15:11 AM,9/18/2024 4:02:21 AM,9/18/2024 7:36:57 AM,9/18/2024 6:06:57 PM,9/18/2024 7:41:54 PM,9/19/2024 11:16:54 AM
1694F,24090458001119,mango perfume,mango perfume,,الدفع بعد الوصول,العقبة,العقبة,فرزاتشي برايت كريستال ١٠٠ عدد٢,S - A,0,,1.75,Cod Collected,9/18/2024 1:15:11 AM,9/18/2024 4:02:21 AM,9/18/2024 6:33:44 AM,9/19/2024 2:02:13 AM,9/19/2024 2:09:54 AM,9/19/2024 11:16:54 AM
1695F,24090458001120,mango perfume,mango perfume,,الدفع بعد الوصول,الزرقاء,حي معصوم,شانيل شانس تندر١٠٠/فيري سكسي ناو ١٠٠/نرسيسو باودر ٥٠ عدد٢,Z - 1,34,,1.75,Cod Collected,9/18/2024 1:15:11 AM,9/18/2024 4:02:21 AM,9/19/2024 6:55:25 PM,9/19/2024 6:59:03 PM,9/19/2024 9:14:26 PM,9/21/2024 10:49:13 AM
1696F,24090458001121,mango perfume,mango perfume,,الدفع بعد الوصول,عمان,عبدون,برادا كاربون ١٠٠/مونت بلانك املبم ١٠٠/بلغري اكفا ٥٩/ ريد توباكو ٥٠,C 3,34,,1.5,Cod Collected,9/18/2024 1:15:11 AM,9/18/2024 4:02:21 AM,9/18/2024 7:11:13 AM,9/18/2024 5:37:40 PM,9/18/2024 7:47:30 PM,9/19/2024 11:16:54 AM
1697F,24090458001122,mango perfume,mango perfume,,الدفع بعد الوصول,عمان,شارع الجامعة,مونت بلانك امبلم ١٠٠/ سوفاج ١٠٠/ايسيمباكي ٥٠/هوجو بوس جرين ٥٠,G,34,,1.5,Cod Collected,9/18/2024 1:15:11 AM,9/18/2024 4:02:21 AM,9/18/2024 7:45:24 AM,9/18/2024 1:32:32 PM,9/18/2024 6:14:26 PM,9/19/2024 11:16:54 AM
1698F,24090458001123,mango perfume,mango perfume,,الدفع بعد الوصول,عمان,ام الحيران,ون مليون ٥٠ مل عدد٢,RTN,0,,1.5,Item Returned To Company Store By Driver,9/18/2024 1:15:11 AM,9/18/2024 4:02:21 AM,9/18/2024 7:27:37 AM,,,
1699F,24090458001124,mango perfume,mango perfume,,الدفع بعد الوصول,عمان,طبربور,جريس ديور ١٠٠/ ليبر انتنس١٠٠/ لافي بيل ٥٠/ يو ستاتي ٥٠,H,34,,1.5,Cod Collected,9/18/2024 1:15:11 AM,9/18/2024 4:02:21 AM,9/18/2024 7:17:14 AM,9/18/2024 1:29:04 PM,9/18/2024 4:22:36 PM,9/19/2024 11:16:54 AM
16910F,24090458001125,mango perfume,mango perfume,,الدفع بعد الوصول,الزرقاء,الزرقاء,سوفاج الكسير ١٠٠/ ٢١٢ ستاتي ١٠٠/لاكوست وايت ٥٠/ فهرنهايت ٥٠/ هديه,RTN,34,,1.75,Item Returned To Company Store By Driver,9/18/2024 1:15:11 AM,9/18/2024 4:02:21 AM,9/19/2024 9:13:17 AM,,,
16912F,24090458001127,mango perfume,mango perfume,,الدفع بعد الوصول,عمان,ضاحية الاقصى,مون جيولان  انتنس١٠٠/ واي ٥٠,F,0,,1.5,Cod Collected,9/18/2024 1:15:11 AM,9/18/2024 4:02:22 AM,9/18/2024 7:42:22 AM,9/18/2024 2:07:42 PM,9/18/2024 4:51:44 PM,9/19/2024 11:16:54 AM
16913F,24090458001128,mango perfume,mango perfume,,الدفع بعد الوصول,السلط,السلط,الي صعب لي بيوفيوم ١٠٠,M,0,,1.75,Cod Collected,9/18/2024 1:15:11 AM,9/18/2024 4:02:22 AM,9/18/2024 7:22:57 AM,9/18/2024 12:13:31 PM,9/18/2024 11:04:05 PM,9/19/2024 11:16:54 AM
16914F,24090458001129,mango perfume,mango perfume,,الدفع بعد الوصول,عمان,شارع عبدالله غوشة,لافي بيل ١٠٠/شانيل شانس تندر ١٠٠/ايدول٥٠/ نرسيسو باودر ٥٠,K,34,,1.5,Cod Collected,9/18/2024 1:15:11 AM,9/18/2024 4:02:22 AM,9/18/2024 11:51:37 AM,9/18/2024 1:26:49 PM,9/18/2024 5:38:33 PM,9/19/2024 11:16:54 AM
16916F,24090458001131,mango perfume,mango perfume,,الدفع بعد الوصول,اربد,الحصن,ذا ون ١٠٠/ير ابسليوت ١٠٠/ واي ٥٠/ مونت بلانك اكسبلور ٥٠,Q 1,34,,1.75,Cod Collected,9/18/2024 1:15:11 AM,9/18/2024 4:37:43 AM,9/19/2024 11:42:16 AM,9/19/2024 2:45:32 PM,9/19/2024 5:38:01 PM,9/21/2024 10:49:13 AM
16917F,24090458001132,mango perfume,mango perfume,,الدفع بعد الوصول,السلط,السلط,ايدول٥٠,M,0,,1.75,Cod Collected,9/18/2024 1:15:11 AM,9/18/2024 4:02:22 AM,9/18/2024 7:22:58 AM,9/18/2024 12:07:32 PM,9/18/2024 11:04:05 PM,9/19/2024 11:16:54 AM
16918F,24090458001133,mango perfume,mango perfume,,الدفع بعد الوصول,عمان,الصويفية,يو انتنسلي ١٠٠+ ٥٠/ارماني كود ١٠٠/ انفكتوس فكتوري ٥٠,K,34,,1.5,Cod Collected,9/18/2024 1:15:11 AM,9/18/2024 4:02:22 AM,9/18/2024 7:00:35 AM,9/18/2024 10:59:41 AM,9/18/2024 5:38:33 PM,9/19/2024 11:16:54 AM
16919F,24090458001134,mango perfume,mango perfume,,الدفع بعد الوصول,عمان,اليادودة,ليبر ١٠٠/ بويزن ١٠٠/ بكرات روج ٥٠/فيري سكسي ٥٠,RTN,34,,1.5,Item Returned To Company Store By Driver,9/18/2024 1:15:11 AM,9/18/2024 4:02:22 AM,9/21/2024 8:48:01 AM,,,
16920F,24090458001135,mango perfume,mango perfume,,الدفع بعد الوصول,عمان,الفحيص,ليبر ١٠٠,M,19,,1.5,Cod Collected,9/18/2024 1:15:11 AM,9/18/2024 4:02:22 AM,9/18/2024 7:22:57 AM,9/18/2024 10:39:10 AM,9/18/2024 11:04:05 PM,9/19/2024 11:16:54 AM
16921F,24090458001136,mango perfume,mango perfume,,الدفع بعد الوصول,عمان,طبربور,جوتشي جلتي بور هوم ١٠٠ عدد ثلاث,H,0,,1.5,Cod Collected,9/18/2024 1:15:11 AM,9/18/2024 4:02:22 AM,9/18/2024 7:17:14 AM,9/18/2024 12:05:29 PM,9/18/2024 4:22:36 PM,9/19/2024 11:16:54 AM
16922F,24090458001137,mango perfume,mango perfume,,الدفع بعد الوصول,عمان,جبل الحسين,ير انتنسلي ١٠٠+ ٥٠/لاميل الكسبر ٥٠/ برادا لوم الشفتفه ٥٠,C 3,34,,1.5,Cod Collected,9/18/2024 1:15:11 AM,9/18/2024 4:02:22 AM,9/18/2024 7:11:13 AM,9/18/2024 2:42:29 PM,9/18/2024 7:47:30 PM,9/19/2024 11:16:54 AM
16923F,24090458001138,mango perfume,mango perfume,,الدفع بعد الوصول,المفرق,المفرق,خمرة ١٠٠/ يو ١٠٠/ ارماني كود ٥٠/ ع زوقك ٥٠,,34,,1.75,Cod Collected,9/18/2024 1:15:11 AM,9/18/2024 4:37:43 AM,9/18/2024 10:17:14 AM,9/18/2024 3:25:34 PM,9/18/2024 5:46:54 PM,9/19/2024 11:16:54 AM
16924F,24090458001139,mango perfume,mango perfume,,الدفع بعد الوصول,العقبة,العقبة,جين بول لي بو جلتر ١٠٠/ سبايس بومب اكستريم ١٠٠/ جين بول جلتر ٥٠/سكاندل بور هوم ٥٠,S - A,34,,1.75,Cod Collected,9/18/2024 1:15:11 AM,9/18/2024 4:02:22 AM,9/18/2024 6:42:12 PM,9/18/2024 11:23:34 PM,9/19/2024 2:09:54 AM,9/19/2024 11:16:54 AM
16925F,24090458001140,mango perfume,mango perfume,,الدفع بعد الوصول,عمان,حي نزال,ايروس١٠٠/سوفاج ١٠٠/ نرسيسو باودر ٥٠/جين بول جلتر ٥٠,P,34,,1.5,Cod Collected,9/18/2024 1:15:11 AM,9/18/2024 4:02:22 AM,9/19/2024 7:36:38 AM,9/19/2024 11:59:27 AM,9/19/2024 5:06:34 PM,9/21/2024 10:49:13 AM
16927F,24090458001142,mango perfume,mango perfume,,الدفع بعد الوصول,اربد,الحصن,امبريال فالي ١٠٠/دولتشي لايت بلو انتنس١٠٠/سوفاج الكسير ٥٠/يو انتنسلي ٥٠,Q 1,34,,1.75,Cod Collected,9/18/2024 1:15:11 AM,9/18/2024 4:37:43 AM,9/18/2024 10:32:09 AM,9/18/2024 11:15:43 AM,9/18/2024 5:12:02 PM,9/19/2024 11:16:54 AM
16928F,24090458001143,mango perfume,mango perfume,,الدفع بعد الوصول,الرصيفة,يجوز,ديور هوم ١٠٠/ امبر ليذر ١٠٠/ايفوريا انتنس رجالي٥٠/دنهل كوستم ٥٠,R,34,,1.75,Cod Collected,9/18/2024 1:15:11 AM,9/18/2024 4:02:22 AM,9/18/2024 9:40:41 AM,9/18/2024 2:41:19 PM,9/18/2024 10:51:33 PM,9/19/2024 11:16:54 AM
16929F,24090458001144,mango perfume,mango perfume,,الدفع بعد الوصول,السلط,صافوط,الور سبورت ١٠٠,A,19,,1.75,Cod Collected,9/18/2024 1:15:11 AM,9/18/2024 4:02:22 AM,9/18/2024 7:06:53 AM,9/18/2024 2:55:28 PM,9/18/2024 5:37:45 PM,9/19/2024 11:16:54 AM
16930F,24090458001145,mango perfume,mango perfume,,الدفع بعد الوصول,اربد,اربد,هوجو بوس ١٠٠,,19,,1.75,Item Returned To Company Store By Driver,9/18/2024 1:15:11 AM,9/18/2024 4:37:43 AM,,,,
16931F,24090458001146,mango perfume,mango perfume,,الدفع بعد الوصول,المفرق,الحمرا,ليبر ١٠٠,N-X,19,,1.75,Cod Collected,9/18/2024 1:15:11 AM,9/18/2024 4:37:43 AM,9/18/2024 10:17:14 AM,9/18/2024 4:22:50 PM,9/18/2024 5:46:54 PM,9/19/2024 11:16:54 AM
16932F,24090458001147,mango perfume,mango perfume,,الدفع بعد الوصول,عمان,الشميساني,بلاك اوبيوم ١٠٠/ سي احمر ٥٠/بولو جرين ١٠٠/ ايفوريا رجالي انتنس٥٠,C 3,34,,1.5,Cod Collected,9/18/2024 1:15:11 AM,9/18/2024 4:02:22 AM,9/18/2024 7:11:13 AM,9/18/2024 2:08:58 PM,9/18/2024 7:47:30 PM,9/19/2024 11:16:54 AM
16933F,24090458001148,mango perfume,mango perfume,,الدفع بعد الوصول,عمان,البيادر,الترا ميل ١٠٠,E,0,,1.5,Cod Collected,9/18/2024 1:15:12 AM,9/18/2024 4:02:22 AM,9/18/2024 7:36:57 AM,9/18/2024 6:06:35 PM,9/18/2024 7:41:54 PM,9/19/2024 11:16:54 AM
16934F,24090458001149,mango perfume,mango perfume,,الدفع بعد الوصول,عمان,ابو علندا,ايدول ١٠٠/ فلانتينو دونا ٥٠/ بويزن ٥٠,C 2,1,,1.5,Cod Collected,9/18/2024 1:15:12 AM,9/18/2024 4:02:22 AM,9/18/2024 7:06:06 AM,9/18/2024 2:54:08 PM,9/18/2024 7:51:15 PM,9/19/2024 11:16:54 AM
16935F,24090458001150,mango perfume,mango perfume,,الدفع بعد الوصول,مادبا,مادبا,ايدول ١٠٠/ سوفاج ١٠٠/ نزسيسو الزهر ٥٠/ ليبر انتنس ٥٠,N,34,,1.75,Cod Collected,9/18/2024 1:15:12 AM,9/18/2024 4:02:22 AM,9/18/2024 6:45:37 AM,9/18/2024 1:00:04 PM,9/18/2024 4:34:31 PM,9/19/2024 11:16:54 AM
16936F,24090458001151,mango perfume,mango perfume,,الدفع بعد الوصول,الزرقاء,الزرقاء,ديزل ٥٠ عدد٢,Z - 1,1,,1.75,Cod Collected,9/18/2024 1:15:12 AM,9/18/2024 4:02:22 AM,9/18/2024 9:37:32 AM,9/18/2024 3:17:21 PM,9/18/2024 10:57:49 PM,9/19/2024 11:16:54 AM
16937F,24090458001152,mango perfume,mango perfume,,الدفع بعد الوصول,الزرقاء,حي شاكر,سولو باتشولي ١٠٩,RTN,0,,1.75,Item Returned To Company Store By Driver,9/18/2024 1:15:12 AM,9/18/2024 4:02:22 AM,9/19/2024 7:44:15 PM,,,
